"","Zip Code","District","White Pop","Afr Am Pop","Asian Pop","Native Am Pacific Pop","Other Pop","Multi Race Pop"
0,"02108","Boston","3563","223","204","0","0","165"
1,"02109","Boston","3419","157","343","0","0","68"
2,"02110","Boston","1896","92","260","0","0","22"
3,"02111","Boston","3250","156","3673","0","0","301"
4,"02112","Boston","NA","NA","NA","NA","NA","NA"
5,"02113","Boston","7022","52","161","0","0","112"
6,"02114","Boston","10504","613","1403","0","0","264"
7,"02115","Boston","19506","2421","4531","32","32","948"
8,"02116","Boston","17684","1297","3310","0","0","605"
9,"02117","Boston","NA","NA","NA","NA","NA","NA"
10,"02118","Roxbury","14830","4467","4363","0","0","1267"
11,"02119","Roxbury","4257","16232","866","7","7","1542"
12,"02120","Roxbury","6990","3989","2793","0","0","321"
13,"02121","Dorchester","2034","19583","162","0","0","1953"
14,"02122","Dorchester","9059","7691","4597","0","0","722"
15,"02123","Boston","NA","NA","NA","NA","NA","NA"
16,"02124","Dorchester","12634","35157","3303","0","0","1806"
17,"02125","Dorchester","11737","11460","4095","0","0","2033"
18,"02126","Mattapan","2164","25041","256","0","0","712"
19,"02127","South Boston","30617","2649","1703","0","0","641"
20,"02128","East Boston","29501","1468","1796","24","24","11563"
21,"02129","Charlestown","14654","1659","1354","0","0","570"
22,"02130","Jamaica Plain","25509","4993","2699","0","0","1701"
23,"02131","Roslindale ","19652","8293","723","0","0","872"
24,"02132","West Roxbury","23691","1661","1902","0","0","508"
25,"02133","Boston","NA","NA","NA","NA","NA","NA"
26,"02134","Allston","10604","1212","4261","0","0","453"
27,"02135","Brighton","30614","2285","6433","100","100","1073"
28,"02136","Hyde Park","12291","14751","705","0","0","1289"
29,"02137","Hyde Park","NA","NA","NA","NA","NA","NA"
