,District Codes,District Names
0,District A-7,"69 Paris Street, East Boston, MA 02128"
1,District B-2,"2400 Washington Street, Roxbury, MA 02119"
2,District B-3,"1165 Blue Hill Avenue, Mattapan, MA 02124"
3,District C-6,"101 West Broadway, South Boston, MA 02127"
4,District C-11,"40 Gibson Street, Dorchester, MA 02122"
5,District D-4,"650 Harrison Avenue, Boston, MA 02116"
6,District D-14,"301 Washington Street, Brighton, MA 02135"
7,District E-5,"1708 Centre Street, West Roxbury, MA 02132"
8,District E-13,"3347 Washington Street, Jamaica Plain, MA 02130"
9,District E-18,"1249 Hyde Park Avenue, Hyde Park, MA 02136"
10,District A-1 ,"40 New Sudbury Street Boston, MA 02114"
11,District  A-15,"40 New Sudbury Street Boston, MA 02114"
