,Unnamed: 0,Zip Code,District,White Pop,Afr Am Pop,Asian Pop,Native Am Pacific Pop,Other Pop,Multi Race Pop
0,0,02108,Boston,3563.0,223.0,204.0,0.0,0.0,165.0
1,1,02109,Boston,3419.0,157.0,343.0,0.0,0.0,68.0
2,2,02110,Boston,1896.0,92.0,260.0,0.0,0.0,22.0
3,3,02111,Boston,3250.0,156.0,3673.0,0.0,0.0,301.0
5,5,02113,Boston,7022.0,52.0,161.0,0.0,0.0,112.0
6,6,02114,Boston,10504.0,613.0,1403.0,0.0,0.0,264.0
7,7,02115,Boston,19506.0,2421.0,4531.0,32.0,32.0,948.0
8,8,02116,Boston,17684.0,1297.0,3310.0,0.0,0.0,605.0
10,10,02118,Roxbury,14830.0,4467.0,4363.0,0.0,0.0,1267.0
11,11,02119,Roxbury,4257.0,16232.0,866.0,7.0,7.0,1542.0
12,12,02120,Roxbury,6990.0,3989.0,2793.0,0.0,0.0,321.0
13,13,02121,Dorchester,2034.0,19583.0,162.0,0.0,0.0,1953.0
14,14,02122,Dorchester,9059.0,7691.0,4597.0,0.0,0.0,722.0
16,16,02124,Dorchester,12634.0,35157.0,3303.0,0.0,0.0,1806.0
17,17,02125,Dorchester,11737.0,11460.0,4095.0,0.0,0.0,2033.0
18,18,02126,Mattapan,2164.0,25041.0,256.0,0.0,0.0,712.0
19,19,02127,South Boston,30617.0,2649.0,1703.0,0.0,0.0,641.0
20,20,02128,East Boston,29501.0,1468.0,1796.0,24.0,24.0,11563.0
21,21,02129,Charlestown,14654.0,1659.0,1354.0,0.0,0.0,570.0
22,22,02130,Jamaica Plain,25509.0,4993.0,2699.0,0.0,0.0,1701.0
23,23,02131,Roslindale ,19652.0,8293.0,723.0,0.0,0.0,872.0
24,24,02132,West Roxbury,23691.0,1661.0,1902.0,0.0,0.0,508.0
26,26,02134,Allston,10604.0,1212.0,4261.0,0.0,0.0,453.0
27,27,02135,Brighton,30614.0,2285.0,6433.0,100.0,100.0,1073.0
28,28,02136,Hyde Park,12291.0,14751.0,705.0,0.0,0.0,1289.0
